"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14"
"1","ООО Компания Тензор, СБИС ЭДО, Saby","7605016030","760401001","действующий","2028-03-03 00:00:00","2BE","help_edo@tensor.ru","https://saby.ru/support","https://saby.ru/edo","действующий","2028-03-03 00:00:00","1BE","help_eo@tensor.ru","https://sbis.ru/support","https://sbis.ru/ereport"
"2","ООО Линк-Сервис","7438014673","746001001","действующий","2027-12-12 00:00:00","2BN","avg@link-service.ru","8(351)734-0003","https://www.link-service.ru/","действующий","2027-12-12 00:00:00","1BN","avg@link-service.ru","8(351)734-0003","https://www.link-service.ru/"
"3","ООО Эвотор ОФД","9715260691","770401001","действующий","2028-03-03 00:00:00","2VO","edo@platformaofd.ru","8(495)252-5050","https://platformaofd.ru/services/platforma-edo/","действующий","2028-03-03 00:00:00","1VO","b2g@platformaofd.ru","8(495)252-5050","https://platformaofd.ru/services/platforma-gosotchet/"
"4","ООО Электронный Экспресс","7729633131","772901001","действующий","2026-04-09 00:00:00","2CI, 2EE","ee@garant.ru","8(800)333-8888","https://www.garantexpress.ru","действующий","2026-04-09 00:00:00","1CI","ee@garant.ru","8(800)333-8888","https://www.garantexpress.ru"
"5","ООО Русь-Телеком","6731071801","673101001","действующий","2028-03-03 00:00:00","2AD","support@rus-telecom.ru","8(495)647-7000, 8(4812)653-242","https://www.rus-telecom.ru/napravleniya-uslug/elektronnyij-dokumentooborot.html","действующий","2028-03-03 00:00:00","1AD","support@rus-telecom.ru","8(495)647-7000, 8(4812)653-242","https://www.rus-telecom.ru/napravleniya-uslug/elektronnyij-dokumentooborot.html"
"6","ООО Э-КОМ","9715218298","770201001","действующий","2026-08-26 00:00:00","2LD","roaming@docrobot.ru","8(800)555-3669","https://docrobot.ru/","Услуга не оказывается","nan","nan","nan","nan","nan"
"7","ООО МО ПНИЭИ-КрасКрипт","2466077563","246501001","действующий","2026-04-09 00:00:00","2BV","st@kraskript.com","8(391)988-9979","https://kraskript.com","действующий","2026-04-09 00:00:00","1BV","st@kraskript.com","8(391)988-9979","https://kraskript.com"
"8","ООО Финтендер-Крипто","2225129102","222501001","действующий","2028-01-26 00:00:00","2LJ","edosupport@ft-crypto.ru","8(499)638-2882","https://ft-crypto.ru/edo","действующий","2028-01-26 00:00:00","1LJ","edosupport@ft-crypto.ru","8(499)638-2882","https://ft-crypto.ru/edo"
"9","OOO Такском ЭДО / 1С-ЭДО","7704211201","770401001","действующий","2026-04-09 00:00:00","2AL","doclines@taxcom.ru","8(495)730-7345, 8(800)250-2237","https://taxcom.ru","действующий","2026-04-09 00:00:00","1AL","doclines@taxcom.ru","8(495)730-7345, 8(800)250-2237","https://taxcom.ru"
"10","АО ИнфоТеКС Интернет Траст","7743020560","771401001","действующий","2026-04-09 00:00:00","2AH","help@iitrust.ru","8(800)250-8-265","https://iitrust.ru/edo/","Исключен","2026-01-26 00:00:00","1HQ","nan","nan","nan"
